epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.9382,0.60028,2.50134,0.95587,0.09798,0.11549,0.10853,0.09362,0.53857,2.7155,0.83813,0.0003334,0.0003334,0.0003334
2,174.84,0.55759,1.55942,0.91799,0.11416,0.5129,0.12639,0.1123,0.49168,2.54311,0.83089,0.000649638,0.000649638,0.000649638
3,260.438,0.52514,1.35189,0.90358,0.13425,0.71882,0.15351,0.13501,0.48481,3.16173,0.82827,0.00093122,0.00093122,0.00093122
4,347.668,0.4977,1.22045,0.87688,0.18077,0.62997,0.18061,0.15862,0.49393,3.92443,0.82694,0.00117814,0.00117814,0.00117814
5,434.556,0.52284,1.15966,0.8842,0.16362,0.72356,0.17624,0.1572,0.48875,4.43047,0.82707,0.00133693,0.00133693,0.00133693
6,519.797,0.50097,1.07907,0.87554,0.18727,0.74044,0.19837,0.17867,0.42221,4.35322,0.82008,0.00125442,0.00125442,0.00125442
7,597.243,0.4821,1.03722,0.86656,0.1525,0.76854,0.18722,0.16767,0.43922,4.73161,0.81486,0.0011719,0.0011719,0.0011719
8,682.976,0.48037,0.99184,0.87754,0.20276,0.82152,0.20758,0.19088,0.41543,3.46932,0.81706,0.00108938,0.00108938,0.00108938
9,777.086,0.45798,0.96203,0.86326,0.19043,0.86912,0.21187,0.19511,0.40055,3.5555,0.81281,0.00100687,0.00100687,0.00100687
10,856.26,0.45984,0.94592,0.86321,0.20724,0.933,0.21596,0.19676,0.40817,3.13031,0.80511,0.000924352,0.000924352,0.000924352
11,932.974,0.40641,1.00663,0.82991,0.20372,0.86297,0.22201,0.20589,0.38583,2.97932,0.80368,0.000841835,0.000841835,0.000841835
12,1009.28,0.39289,0.92433,0.82661,0.17926,0.76344,0.19759,0.18366,0.37646,4.35015,0.80373,0.000759318,0.000759318,0.000759318
13,1087.11,0.39177,0.89083,0.8275,0.20729,0.93605,0.21014,0.19554,0.37219,4.00179,0.8055,0.000676802,0.000676802,0.000676802
14,1163.7,0.38578,0.87464,0.81369,0.19958,0.85139,0.21301,0.19873,0.37149,3.43062,0.80453,0.000594286,0.000594286,0.000594286
15,1240.62,0.38027,0.85273,0.82076,0.20749,0.95891,0.20993,0.19574,0.36956,3.68267,0.79911,0.000511769,0.000511769,0.000511769
16,1317.59,0.37635,0.8232,0.81903,0.2039,0.95195,0.20497,0.19227,0.35528,3.45065,0.79634,0.000429253,0.000429253,0.000429253
17,1393.82,0.36278,0.82189,0.80952,0.20805,0.94094,0.20876,0.19586,0.35174,3.11985,0.79439,0.000346736,0.000346736,0.000346736
18,1471.27,0.36266,0.78795,0.81982,0.2069,0.91664,0.20806,0.19568,0.34514,3.16147,0.79396,0.00026422,0.00026422,0.00026422
19,1548.2,0.3571,0.7596,0.80622,0.20665,0.9511,0.20721,0.19398,0.34825,3.12354,0.79471,0.000181703,0.000181703,0.000181703
20,1624.9,0.35216,0.77249,0.80882,0.20774,0.9645,0.20768,0.19495,0.34673,3.17192,0.79491,9.91865e-05,9.91865e-05,9.91865e-05
